Indicator,PUBLISH STATES,Year,WHO region,Country,Display Value,Numeric,Low,High,Comments
Laboratory health workers density (per 1000 population),Published,2007,Africa,Congo,0.086,0.086,,,
Physicians density (per 1000 population),Published,2010,Europe,Romania,2.385,2.385,,,"<b>Physicians: </b>Includes practising physicians</br><b> Country: </b>Romania </br><b>Year: </b>2010</br><b>Value:</b>2.385</br><b> Data Source:</b> Health for all database, WHO/EURO "
Physicians density (per 1000 population),Published,2004,Americas,United States of America,2.672,2.672,,,
Pharmaceutical personnel density (per 1000 population),Published,2005,Africa,Uganda,0.026,0.026,,,
Physicians density (per 1000 population),Published,2001,Americas,Barbados,1.567,1.567,,,
Other health workers density (per 1000 population),Published,1995,Americas,Barbados,0.125,0.125,,,
Nursing and midwifery personnel density (per 1000 population),Published,2002,South-East Asia,Thailand,1.362,1.362,,,Includes only nurses
Environmental and public health workers density (per 1000 population),Published,2009,Africa,Zimbabwe,0.088,0.088,,,
Health management & support workers density (per 1000 population),Published,1998,Americas,Canada,0.0937,0.0937,,,
Environmental and public health workers density (per 1000 population),Published,2005,Africa,Ethiopia,0.017,0.017,,,
Nursing and midwifery personnel density (per 1000 population),Published,2008,Western Pacific,Nauru,4.929,4.929,,,
Other health workers density (per 1000 population),Published,2004,Africa,Benin,0.02,0.02,,,
Physicians density (per 1000 population),Published,2004,Americas,Canada,1.82,1.82,,,
Other health workers density (per 1000 population),Published,2008,Africa,Togo,0.44,0.44,,,
Nursing and midwifery personnel density (per 1000 population),Published,1993,Americas,Ecuador,1.44,1.44,,,
Dentistry personnel density density (per 1000 population),Published,1995,Americas,Saint Kitts and Nevis,0.25,0.25,,,Includes only dentists
Physicians density (per 1000 population),Published,1999,Europe,Turkey,1.219,1.219,,,
Physicians density (per 1000 population),Published,2006,Western Pacific,Singapore,1.582,1.582,,,
Pharmaceutical personnel density (per 1000 population),Published,2004,Eastern Mediterranean,Lebanon,0.809,0.809,,,
Physicians density (per 1000 population),Published,2004,Africa,Mali,0.08,0.08,,,
Pharmaceutical personnel density (per 1000 population),Published,2009,Europe,Netherlands,0.209,0.209,,,
Other health workers density (per 1000 population),Published,2001,Eastern Mediterranean,Tunisia,3.158,3.158,,,
Nursing and midwifery personnel density (per 1000 population),Published,2011,South-East Asia,Bangladesh,0.218,0.218,,,"<b>Nursing and midwifery personnel: </b></br><b> Country: </b>Bangladesh </br><b>Year: </b>2011</br><b>Value:</b>0.218</br><b> Data Source:</b> Human Resources Development Unit, Ministry of Health and Family Welfare"
Pharmaceutical personnel density (per 1000 population),Published,2004,Eastern Mediterranean,Syrian Arab Republic,0.698,0.698,,,Includes only pharmacists
Dentistry personnel density density (per 1000 population),Published,2002,Western Pacific,New Zealand,0.4212,0.4212,,,
Other health workers density (per 1000 population),Published,2004,Africa,Senegal,0.07,0.07,,,
Laboratory health workers density (per 1000 population),Published,1990,Eastern Mediterranean,Oman,0.308,0.308,,,
Pharmaceutical personnel density (per 1000 population),Published,2011,Western Pacific,Cambodia,0.103,0.103,,,
Dentistry personnel density density (per 1000 population),Published,2004,Africa,Botswana,0.02,0.02,,,
Physicians density (per 1000 population),Published,1998,South-East Asia,Sri Lanka,0.352,0.352,,,
Other health workers density (per 1000 population),Published,2009,Africa,Ethiopia,0.057,0.057,,,
Nursing and midwifery personnel density (per 1000 population),Published,2004,Americas,Brazil,3.798,3.798,,,Includes only nurses
Pharmaceutical personnel density (per 1000 population),Published,1991,Europe,Croatia,0.359,0.359,,,Includes only pharmacists
Pharmaceutical personnel density (per 1000 population),Published,2004,Eastern Mediterranean,Oman,0.53,0.53,,,
Environmental and public health workers density (per 1000 population),Published,2008,Africa,C?te d'Ivoire,0.074,0.074,,,
Physicians density (per 1000 population),Published,1995,Western Pacific,Lao People's Democratic Republic,0.353,0.353,,,
Dentistry personnel density density (per 1000 population),Published,2000,Western Pacific,Japan,0.7152,0.7152,,,
Physicians density (per 1000 population),Published,2009,Americas,Peru,0.92,0.92,,,
Dentistry personnel density density (per 1000 population),Published,2011,Europe,Malta,0.445,0.445,,,
Community and traditional health workers density (per 1000 population),Published,2010,Americas,Guyana,0.326,0.326,,,
Laboratory health workers density (per 1000 population),Published,2004,Eastern Mediterranean,Sudan,0.09,0.09,,,
Community and traditional health workers density (per 1000 population),Published,2005,Africa,Zambia,0.841,0.841,,,
Pharmaceutical personnel density (per 1000 population),Published,2010,Eastern Mediterranean,Jordan,1.444,1.444,,,
Nursing and midwifery personnel density (per 1000 population),Published,2005,Africa,Gambia,0.483,0.483,,,"<b>Nursing and midwifery personnel: </b>Includes public sector only.</br><b> Country: </b>Gambia</br><b>Year: </b>2005</br><b>Value:</b>0.483</br><b> Data Source:</b> HRH Unit, Ministry of Health"
Pharmaceutical personnel density (per 1000 population),Published,2006,Eastern Mediterranean,Qatar,1.259,1.259,,,
Dentistry personnel density density (per 1000 population),Published,2007,Eastern Mediterranean,Oman,0.196,0.196,,,Includes only dentists
Other health workers density (per 1000 population),Published,2009,Americas,Guatemala,0.233,0.233,,,
Nursing and midwifery personnel density (per 1000 population),Published,2001,Americas,Colombia,0.53,0.53,,,Includes only nurses
Other health workers density (per 1000 population),Published,2006,Africa,Ethiopia,0.09,0.09,,,
Pharmaceutical personnel density (per 1000 population),Published,2005,Eastern Mediterranean,Djibouti,0.052,0.052,,,
Other health workers density (per 1000 population),Published,2005,Africa,Algeria,3.018,3.018,,,
Pharmaceutical personnel density (per 1000 population),Published,2010,Eastern Mediterranean,Bahrain,0.248,0.248,,,
Dentistry personnel density density (per 1000 population),Published,1997,Americas,Antigua and Barbuda,0.19,0.19,,,
Other health workers density (per 1000 population),Published,2004,South-East Asia,Bangladesh,0.04,0.04,,,
Dentistry personnel density density (per 1000 population),Published,1995,Americas,Colombia,0.6,0.6,,,Includes only dentists
Nursing and midwifery personnel density (per 1000 population),Published,2008,Africa,Mali,0.297,0.297,,,
Other health workers density (per 1000 population),Published,2008,Africa,Niger,0.002,0.002,,,
Laboratory health workers density (per 1000 population),Published,2009,Africa,Mauritania,0.036,0.036,,,
Dentistry personnel density density (per 1000 population),Published,2007,Europe,Slovakia,0.499,0.499,,,
Laboratory health workers density (per 1000 population),Published,2004,Eastern Mediterranean,Oman,0.36,0.36,,,
Physicians density (per 1000 population),Published,1998,Americas,Bahamas,1.05,1.05,,,
Environmental and public health workers density (per 1000 population),Published,2008,Western Pacific,Micronesia (Federated States of),0.35,0.35,,,
Physicians density (per 1000 population),Published,1995,Americas,Ecuador,1.25,1.25,,,
Physicians density (per 1000 population),Published,2009,Africa,Ethiopia,0.025,0.025,,,
Physicians density (per 1000 population),Published,2007,Africa,Cabo Verde,0.257,0.257,,,
Pharmaceutical personnel density (per 1000 population),Published,2006,Eastern Mediterranean,Somalia,0.006,0.006,,,
Pharmaceutical personnel density (per 1000 population),Published,2004,Africa,Senegal,0.01,0.01,,,
Physicians density (per 1000 population),Published,1998,Africa,Chad,0.021,0.021,,,
Physicians density (per 1000 population),Published,1997,Western Pacific,Vanuatu,0.11,0.11,,,
Physicians density (per 1000 population),Published,2007,Eastern Mediterranean,Morocco,0.564,0.564,,,
Dentistry personnel density density (per 1000 population),Published,2000,Western Pacific,Malaysia,0.09,0.09,,,
Laboratory health workers density (per 1000 population),Published,2004,Africa,Cabo Verde,0.16,0.16,,,
Nursing and midwifery personnel density (per 1000 population),Published,1998,Americas,Grenada,3.9756,3.9756,,,Includes only nurses
Physicians density (per 1000 population),Published,1997,Americas,Colombia,1.19,1.19,,,
Laboratory health workers density (per 1000 population),Published,2004,Africa,Ghana,0.04,0.04,,,
Physicians density (per 1000 population),Published,2010,Western Pacific,China,1.456,1.456,,,<b>Physicians: </b></br><b> Country: </b>China </br><b>Year: </b>2010</br><b>Value:</b>1.456</br><b> Data Source:</b> National Bureau of Statistics of China
Health management & support workers density (per 1000 population),Published,2009,Africa,Mali,0.241,0.241,,,
Physicians density (per 1000 population),Published,2004,South-East Asia,Thailand,0.298,0.298,,,
Health management & support workers density (per 1000 population),Published,2007,Eastern Mediterranean,Oman,1.598,1.598,,,
Physicians density (per 1000 population),Published,2002,Eastern Mediterranean,Tunisia,0.819,0.819,,,
Pharmaceutical personnel density (per 1000 population),Published,1999,Western Pacific,Singapore,0.266,0.266,,,Includes only pharmacists
Dentistry personnel density density (per 1000 population),Published,2008,Africa,Togo,0.003,0.003,,,
Pharmaceutical personnel density (per 1000 population),Published,1998,South-East Asia,Thailand,0.099,0.099,,,Includes only pharmacists
Environmental and public health workers density (per 1000 population),Published,2010,Africa,Rwanda,0.012,0.012,,,
Community and traditional health workers density (per 1000 population),Published,2007,South-East Asia,Maldives,2.269,2.269,,,
Physicians density (per 1000 population),Published,2008,Europe,Kyrgyzstan,2.398,2.398,,,
Physicians density (per 1000 population),Published,2009,Europe,Serbia,2.114,2.114,,,
Health management & support workers density (per 1000 population),Published,2004,South-East Asia,Bhutan,0.51,0.51,,,
Dentistry personnel density density (per 1000 population),Published,2008,Western Pacific,Kiribati,0.17,0.17,,,
Nursing and midwifery personnel density (per 1000 population),Published,2007,Eastern Mediterranean,United Arab Emirates,4.09,4.09,,,
Dentistry personnel density density (per 1000 population),Published,2004,Africa,C?te d'Ivoire,0.02,0.02,,,Includes only dentists
Pharmaceutical personnel density (per 1000 population),Published,2002,Western Pacific,Brunei Darussalam,0.0857,0.0857,,,
Other health workers density (per 1000 population),Published,1993,South-East Asia,Sri Lanka,0.128,0.128,,,
Physicians density (per 1000 population),Published,1991,Europe,Hungary,3.277,3.277,,,
Physicians density (per 1000 population),Published,2002,Americas,Grenada,0.72,0.72,,,
Health management & support workers density (per 1000 population),Published,1998,Africa,Congo,0.161,0.161,,,
Nursing and midwifery personnel density (per 1000 population),Published,2010,Western Pacific,Singapore,6.392,6.392,,,<b>Nursing and midwifery personnel: </b></br><b> Country: </b>Singapore </br><b>Year: </b>2010</br><b>Value:</b>6.392</br><b> Data Source:</b> Ministry of Health
Environmental and public health workers density (per 1000 population),Published,2007,Africa,Nigeria,0.031,0.031,,,
Dentistry personnel density density (per 1000 population),Published,1995,Americas,Cuba,0.83,0.83,,,Includes only dentists
Pharmaceutical personnel density (per 1000 population),Published,1998,Americas,Ecuador,0.03,0.03,,,Includes only pharmacists
Pharmaceutical personnel density (per 1000 population),Published,2009,Western Pacific,Cook Islands,0.44,0.44,,,
Nursing and midwifery personnel density (per 1000 population),Published,2010,Eastern Mediterranean,Bahrain,3.858,3.858,,,<b>Nursing and midwifery personnel: </b></br><b> Country: </b>Bahrain </br><b>Year: </b>2010</br><b>Value:</b>3.858</br><b> Data Source:</b> Ministry of Health
Other health workers density (per 1000 population),Published,2009,Europe,Turkey,1.213,1.213,,,
Dentistry personnel density density (per 1000 population),Published,2006,Africa,United Republic of Tanzania,0.006,0.006,,,
Nursing and midwifery personnel density (per 1000 population),Published,2007,Africa,Congo,0.824,0.824,,,
Pharmaceutical personnel density (per 1000 population),Published,2001,Eastern Mediterranean,United Arab Emirates,0.38,0.38,,,Includes only pharmacists
Pharmaceutical personnel density (per 1000 population),Published,2001,Western Pacific,China,0.28,0.28,,,Includes only pharmacists
Pharmaceutical personnel density (per 1000 population),Published,2000,Eastern Mediterranean,Saudi Arabia,0.039,0.039,,,Includes only pharmacists
Other health workers density (per 1000 population),Published,2005,Eastern Mediterranean,Tunisia,2.931,2.931,,,
